ts,hostname,fleet_host_id,ziti_identity,ziti_identity_id,prev_state,new_state,score,reasons,tdetect,tdecision,tenforce
2026-03-10T07:29:46.369500+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,,,compliant,100,[],2026-03-10T07:29:46.308951+00:00,2026-03-10T07:29:46.361964+00:00,2026-03-10T07:29:46.369513+00:00
2026-03-11T04:03:02.095067+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-11T04:03:01.908382+00:00,2026-03-11T04:03:02.057094+00:00,2026-03-11T04:03:02.095082+00:00
2026-03-12T03:03:04.539542+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-12T03:03:04.309417+00:00,2026-03-12T03:03:04.514331+00:00,2026-03-12T03:03:04.539553+00:00
2026-03-12T04:21:11.084509+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-12T04:21:10.941237+00:00,2026-03-12T04:21:11.058397+00:00,2026-03-12T04:21:11.084521+00:00
2026-03-12T12:25:47.900580+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-12T12:25:47.756831+00:00,2026-03-12T12:25:47.875637+00:00,2026-03-12T12:25:47.900596+00:00
2026-03-13T04:29:02.872664+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-13T04:29:02.744597+00:00,2026-03-13T04:29:02.849268+00:00,2026-03-13T04:29:02.872676+00:00
2026-03-16T09:11:30.081634+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-16T09:11:29.254119+00:00,2026-03-16T09:11:30.018467+00:00,2026-03-16T09:11:30.081678+00:00
2026-03-16T09:48:51.534036+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-16T09:48:51.188180+00:00,2026-03-16T09:48:51.502426+00:00,2026-03-16T09:48:51.534069+00:00
2026-03-16T09:48:51.843449+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-16T09:48:51.548178+00:00,2026-03-16T09:48:51.803735+00:00,2026-03-16T09:48:51.843485+00:00
2026-03-16T09:48:52.224402+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-16T09:48:51.859229+00:00,2026-03-16T09:48:52.199768+00:00,2026-03-16T09:48:52.224434+00:00
2026-03-16T10:27:56.807814+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-16T10:27:55.952605+00:00,2026-03-16T10:27:56.734101+00:00,2026-03-16T10:27:56.807852+00:00
2026-03-16T10:27:57.165967+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-16T10:27:56.816969+00:00,2026-03-16T10:27:57.115274+00:00,2026-03-16T10:27:57.165998+00:00
2026-03-16T10:27:57.717188+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-16T10:27:57.174408+00:00,2026-03-16T10:27:57.628226+00:00,2026-03-16T10:27:57.717220+00:00
2026-03-16T15:47:05.262866+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-16T15:47:05.102460+00:00,2026-03-16T15:47:05.227110+00:00,2026-03-16T15:47:05.262878+00:00
2026-03-16T15:47:05.328333+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-16T15:47:05.267821+00:00,2026-03-16T15:47:05.319850+00:00,2026-03-16T15:47:05.328346+00:00
2026-03-16T15:47:05.399254+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-16T15:47:05.331200+00:00,2026-03-16T15:47:05.389566+00:00,2026-03-16T15:47:05.399265+00:00
2026-03-16T15:55:22.577046+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-16T15:55:22.454967+00:00,2026-03-16T15:55:22.563091+00:00,2026-03-16T15:55:22.577063+00:00
2026-03-16T15:55:23.083495+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-16T15:55:22.835174+00:00,2026-03-16T15:55:23.075251+00:00,2026-03-16T15:55:23.083508+00:00
2026-03-16T15:55:23.445860+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-16T15:55:23.338441+00:00,2026-03-16T15:55:23.390194+00:00,2026-03-16T15:55:23.445872+00:00
2026-03-16T16:34:08.886021+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-16T16:34:08.806981+00:00,2026-03-16T16:34:08.872562+00:00,2026-03-16T16:34:08.886035+00:00
